               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094963,            0.038337,            0.082006,            0.047498,             0.12739,            0.042704,            0.016036,            0.047895,            0.027908,            0.062393,            0.000776,            0.000776,            0.091076
                   1,            0.058189,            0.034862,            0.066725,            0.074868,             0.31594,            0.067285,            0.021865,             0.04792,            0.014624,             0.04995,           0.0015599,           0.0015599,             0.08206
                   2,            0.058455,            0.025959,            0.059561,             0.22675,             0.28812,             0.14235,            0.059546,            0.032387,            0.012715,            0.046488,           0.0023435,           0.0023435,            0.073043
                   3,            0.051068,            0.022469,            0.057362,             0.18811,             0.38782,             0.18627,            0.088799,            0.035723,            0.010671,            0.044952,           0.0031264,           0.0031264,            0.064026
                   4,            0.046473,            0.021857,            0.055051,             0.11897,              0.5418,             0.26951,             0.13022,            0.029533,           0.0098441,            0.042439,           0.0039085,           0.0039085,            0.055009
                   5,            0.049991,            0.020958,             0.05231,             0.21671,             0.54687,             0.33068,             0.17411,            0.028725,           0.0096826,            0.040503,           0.0046895,           0.0046895,            0.045989
                   6,            0.046386,            0.019912,            0.048854,              0.1822,             0.62337,             0.36033,             0.17187,            0.029871,           0.0089384,            0.036251,           0.0054691,           0.0054691,            0.036969
                   7,            0.043776,            0.019698,            0.042853,             0.14575,             0.66123,             0.35117,             0.14622,            0.030619,           0.0089887,            0.031847,            0.006247,            0.006247,            0.027947
                   8,             0.04511,             0.01933,            0.039028,             0.18144,             0.66742,             0.38302,             0.15861,             0.03244,           0.0088413,            0.027388,            0.007023,            0.007023,            0.018923
                   9,            0.044353,            0.019517,            0.037821,             0.21666,             0.52975,             0.38615,             0.20439,            0.028566,           0.0091993,            0.032063,           0.0077968,           0.0077968,           0.0098968
                  10,            0.041784,            0.019235,            0.037291,             0.22773,             0.56479,              0.4042,             0.19877,            0.027539,           0.0091163,            0.029649,           0.0079557,           0.0079557,           0.0079557
                  11,            0.038129,            0.018625,            0.032382,             0.28048,             0.66838,             0.49729,             0.24911,            0.026548,           0.0089901,            0.023248,           0.0079557,           0.0079557,           0.0079557
                  12,            0.036105,            0.018455,            0.028626,             0.35522,              0.6318,             0.53026,             0.27225,            0.025026,             0.00833,            0.020272,           0.0079464,           0.0079464,           0.0079464
                  13,            0.035723,            0.018573,            0.026549,             0.46617,             0.65186,             0.58307,              0.3172,            0.021743,           0.0080375,            0.018647,           0.0079362,           0.0079362,           0.0079362
                  14,            0.032879,            0.018025,            0.025719,             0.48775,              0.7663,             0.68855,             0.41802,            0.021888,           0.0082426,            0.017649,           0.0079252,           0.0079252,           0.0079252
                  15,            0.031658,            0.017664,            0.023074,             0.45673,             0.74799,              0.6385,              0.3946,            0.021138,           0.0079465,            0.016056,           0.0079133,           0.0079133,           0.0079133
                  16,            0.032437,            0.017655,            0.023747,             0.62295,             0.60961,             0.65587,             0.39391,            0.020129,           0.0079045,            0.015564,           0.0079005,           0.0079005,           0.0079005
                  17,            0.031568,            0.017623,             0.02246,             0.68399,             0.72839,             0.73723,             0.42903,            0.020263,           0.0081467,            0.013506,           0.0078869,           0.0078869,           0.0078869
                  18,             0.03043,            0.017448,            0.021257,             0.59041,             0.78077,             0.76357,              0.4576,            0.019491,           0.0078667,            0.012462,           0.0078724,           0.0078724,           0.0078724
                  19,            0.030266,            0.017413,            0.020303,             0.71312,             0.74865,             0.78274,             0.45597,            0.020237,           0.0076255,            0.011089,           0.0078571,           0.0078571,           0.0078571
                  20,            0.030181,            0.017875,             0.01914,             0.63614,             0.83322,             0.77765,             0.48117,            0.020697,           0.0077154,            0.011474,           0.0078409,           0.0078409,           0.0078409
                  21,            0.029292,            0.017164,            0.018922,              0.6609,             0.77041,             0.78445,             0.46596,            0.019692,           0.0078787,            0.010338,           0.0078238,           0.0078238,           0.0078238
                  22,            0.028965,            0.017119,            0.018765,              0.6898,             0.72168,             0.77428,             0.49941,             0.01859,           0.0075108,            0.011522,           0.0078059,           0.0078059,           0.0078059
                  23,            0.029197,            0.017432,            0.017443,             0.82065,              0.7381,             0.84063,             0.50609,            0.018748,           0.0075727,           0.0098582,           0.0077872,           0.0077872,           0.0077872
                  24,            0.028659,            0.017139,            0.017352,             0.74709,             0.71475,             0.79725,             0.50126,            0.017828,             0.00742,           0.0095419,           0.0077676,           0.0077676,           0.0077676
                  25,            0.029111,            0.017108,            0.016407,             0.69879,             0.74449,             0.80732,             0.50524,            0.019081,           0.0076321,             0.01065,           0.0077472,           0.0077472,           0.0077472
                  26,            0.026979,            0.016773,            0.016908,             0.79406,             0.80115,             0.85596,             0.55715,            0.017518,           0.0074132,            0.012382,            0.007726,            0.007726,            0.007726
                  27,            0.026857,            0.016676,            0.016165,              0.7502,             0.93618,             0.91094,             0.59921,            0.016595,           0.0071514,           0.0069168,           0.0077039,           0.0077039,           0.0077039
                  28,            0.026549,             0.01654,            0.015111,             0.73297,             0.91996,              0.8896,             0.56866,            0.017374,           0.0074892,           0.0070319,           0.0076811,           0.0076811,           0.0076811
                  29,            0.027483,            0.016743,            0.015131,             0.82912,             0.83771,             0.90143,              0.5661,            0.019423,           0.0071732,           0.0071476,           0.0076574,           0.0076574,           0.0076574
                  30,            0.027367,            0.016971,            0.014853,             0.81047,             0.87213,             0.90621,             0.59284,               0.017,           0.0071201,           0.0078246,           0.0076329,           0.0076329,           0.0076329
                  31,            0.026606,            0.016415,            0.014105,             0.82335,             0.85255,              0.9033,             0.60558,            0.017342,           0.0069814,           0.0078848,           0.0076076,           0.0076076,           0.0076076
                  32,            0.026905,            0.016461,            0.013675,             0.80068,             0.87553,             0.89016,             0.57221,            0.017051,           0.0072079,           0.0073374,           0.0075816,           0.0075816,           0.0075816
